,Property_Type,Area,Status,Floor,Transaction_Type,Property_Furnishing,Direction_Facing,Description,Price,Price_per_sqft
19,2 BHK ,60 sqyrd,Ready to Move,3 out of 3,Resale,Unfurnished,2,"Builder Floor Apartment is located at the advantageous 3rd floor in a tower of total 3 floors. The age of construction for this apartment Builder Floor Apartment is Less than 5 years. The location has easy access to, State Bank of India (0 km ), Dr Zakir Hussain Senior Secondary School (1 km ), Zameer Market (1 km ) and Welcome Metro Station (6 km ).",₹23 Lac,₹4259 per sqft
20,1 BHK ,345 sqft,Ready to Move,1 out of 4,Resale,Semi-Furnished,1,"This exquisite 1 BHK Flat is offered for sale in Rohini Sector 34, New Delhi. In a building there are 4 floors and the flat for sale is on 1 floor. This flat has 1 bedrooms, which resonate with modern elegance. There are 1 bathrooms for the residents' convenience. This flat for resale is just the type of property you have been searching for! In Rohini Sector 34, this ready to move flat is available at an attractive price of INR 16 Lac. This contemporary apartment is semi-furnished. The 1 BHK flat for sale is located at Rohini Sector 34, New Delhi - Rohini, Delhi NCR.",₹16 Lac,₹4638 per sqft
21,2 BHK ,550 sqft,Ready to Move,3 out of 4,Resale,Semi-Furnished,West,"Multistorey Apartment is located on 3rd floor. It faces West direction. The type of ownership is Freehold. Reserved covered car parking for residents available. The Multistorey Apartment is newly constructed. Flooring of type Marble covers maximum part of the house. The location has easy access to, GD Goenka School (0 km ), Begampur Main Market (0 km ), Union Bank (0 km ) and Nangloi Railway Station (7 km ).",₹32 Lac,₹5818 per sqft
22,2 BHK ,530 sqft,Ready to Move,1 out of 4,Resale,Semi-Furnished,East,"This lovely 2 BHK Flat in Mansa Ram Park, New Delhi is up for sale. A spacious flat with a carpet area of 530 square feet, it is suitable for any family. 1 floor is for sale. However, there are 4 floors in the building. The 2 BHK property is equipped with 2 spacious bedrooms, including the master bedroom that is elegantly designed. The strategically placed 1 balconies provide a good view and natural sunlight into the 2 BHK flat apartment. There are 1 bathrooms for the convenience of the habitants. The flat is embellished with classy marble flooring that gives an added touch of elegance. The 1 covered car parking is a salient feature of this 2 BHK flat on sale. The fact that the apartment is facing the east gives it an edge. It is enhanced by the fact of its overlooking view of the main road. This apartment is a property of choice for resale. In Mansa Ram Park, this ready to move flat is available at an attractive price of INR 26 Lac. The apartment is semi-furnished. The flat is easily approachable because it is near to near nawada metro station. This stunning 2 BHK equipped with all amenities is up for sale at Mansa Ram Park, New Delhi - West, Delhi NCR.",₹26 Lac,₹4815 per sqft
23,1 BHK ,55 sqyrd,Ready to Move,2 out of 4,Resale,Semi-Furnished,1,"This exquisite 1 BHK Flat is offered for sale in Shakarpur, New Delhi. The flat at 2 floor is on sale and is part of building having 4 floors. This flat has 1 bedrooms, which resonate with modern elegance. The 1 BHK flat has 1 number of bathrooms. This flat is available as a resale property. The ready to move flat in Shakarpur is all ready for sale at a low-priced budget of INR 15.7 Lac. This premium semi-furnished flat spells quality and comfort at a competitive price. The exact address of this 1 BHK flat for sale is Shakarpur, New Delhi - East, Delhi NCR.",₹15.7 Lac,₹3172 per sqft
24,1 BHK ,45 sqyrd,Ready to Move,4 out of 4,Resale,Unfurnished,North - East,"I am selling my 4th Floor with roof right in kakrola on old palam road near by ram mandir, Dwarka Mor 1 BHK flat available for sale in New Delhi in the prime location of Dwarka Mor. The apartment sprawls a carpet area of 45 square feet and flaunts a unique style. There are 4 floors in the building, and this apartment for sale is on floor number 4. The master bedroom of the flat provides an elegant look and in total it has 1 bedrooms with proper ventilation. The 1 balconies offers a nice view and free airflow into the flat. The 1 BHK flat has 1 number of bathrooms. The flat comes with well-built vitrified flooring that adds more chic to the entire house. This north - east facing flat is advantageous as per vastu also. It overlooks the main road which is a delight to the eyes. This flat is available as a resale property. The ready to move flat in Dwarka Mor is all ready for sale at a low-priced budget of INR 14.9 Lac. The flat is unfurnished and is suitable for any family size. The property is constructed with proximity to major landmarks like near ram mandir. Visit 1 BHK flat for sale at Dwarka Mor, New Delhi - West, Delhi NCR.",₹14.9 Lac,₹3311 per sqft
25,2 BHK ,67 sqyrd,Ready to Move,Ground out of 4,Resale,Unfurnished,1 Covered,"Builder Floor Apartment is located at the advantageous Ground floor in a tower of total 4 floors. Modern construction is done in this newly built Builder Floor Apartment. This ready to move-in 2 BHK flat is available for sale at the premium Raj Nagar 2 in New Delhi. The building consists of 4 floors, and this apartment on ground floor is for sale. There are 2 well-appointed bedrooms, including the master bedroom that is modern and spacious. The strategically placed 1 balconies provide a good view and natural sunlight into the 2 BHK flat apartment. There are 2 bathrooms, that are adorned with high-quality fixtures. 1 covered parking space is also offered for this 2 BHK apartment. This flat is available as a resale property. This apartment in one of the significant areas of Raj Nagar 2 is ready to move, and can be purchased at the best price of INR 35 Lac. This premium unfurnished flat spells quality and comfort at a competitive price. This stunning 2 BHK equipped with all amenities is up for sale at Raj Nagar 2, New Delhi - South, Delhi NCR.",₹35 Lac,₹5804 per sqft
26,1 BHK ,50 sqyrd,Ready to Move,Ground out of 4,Resale,Unfurnished,1,"This Multistorey Apartment is located at Ground floor in a building of total 4 floors. The Multistorey Apartment construction is above 20 years. The location has easy access to, Singh Heart Centre (0 km ), St Peters School (0 km ), Nawada Bazaar (0 km ) and Janakpuri West Metro Station (2 km ).",₹30 Lac,₹6667 per sqft
27,2 BHK ,50 sqyrd,Ready to Move,1 out of 4,New Property,Semi-Furnished,North - East,2BHK Builder Floor in Uttam Nagar::::Attractive front elivation::::Freehold Property::::Reserved Parking::::Ample space for visitor parking::::Bathroom with modern facilities::::Complete lights in all room::::Wooden Almirah in bedroom::::Separate Electric and water meter connection::::Separate Water Tank at roof.::::Electronic door lock system with Intercom facility,₹26.5 Lac,₹5354 per sqft
28,2 BHK ,623 sqft,Ready to Move,3 out of 3,Resale,Unfurnished,1,"Multistorey apartment is available for sale. It is a good location property. Please contact for more details. This lovely 2 BHK Flat in Subhash Park, New Delhi is up for sale. The building has a total of 3 floors and this apartment for sale is located on floor number 3. This 2 BHK flat on sale is strategically designed and comes with 2 bedrooms, which are cozy & pleasing for any family. There are 1 bathrooms for the convenience of the habitants. This is one of the best properties available for resale. This ready to move flat in Subhash Park is available for a reasonable price of INR 30 Lac. The flat is unfurnished and is suitable for any family size. The complete address of this well-planned 2 BHK flat for sale is Subhash Park, New Delhi - East, Delhi NCR.",₹30 Lac,₹4815 per sqft
29,2 BHK ,55 sqyrd,Ready to Move,3 out of 3,Resale,Semi-Furnished,1 Covered,The Price of this Apartment is around 24 Lac. The Apartment features 2 furnished bathroom and 2 airy balconies. It measures an area of 55 Sq-yrd. It is situated on 3 floor of the 3 floors in the tower and is good space to live in. This one is a 2 bedroom apartment situated in Bhagwati Garden.,₹24 Lac,₹4848 per sqft
0,2 BHK ,550 sqft,Ready to Move,3 out of 4,New Property,Semi-Furnished,East,"Ready to Move Flats Home Loan Facility Registry Builder Floor For Sale in uttam nagar::::::::?? Furnished three bedroom set with dinning hall::::?? Reserved Car Parking & Lift facility with power backup::::?? Complete Modern Washroom fittings & Modular kitchen with chimney::::?? Fancy lights in all rooms, latest false ceiling & POP design::::?? Camera, screen, intercom and Heavy electronic door lock facility.::::?? Upto 90 Home Loan available from NBFC’S bank India bulls, IIHFL, ICICI Home Finance, LIC, IDFC, Hero Finance, Baja Finance etc::::?? Separate electric and water connections with appropriate Supply",₹24 Lac,₹4000 per sqft
1,1 BHK ,400 sqft,1 out of 4,New Property,Semi-Furnished,East,Main Road,"Very Good property near to market. All facilities are available nearby. Carefully laid out in the prime location of Mahavir Enclave Part 1 in New Delhi, this spacious 1 BHK flat on sale is a meticulously planned project. It gives a comfortable environment for the entire family with a carpet area of 400 square feet. The building consists of 4 floors, and this apartment on floor number 1 is for sale. This flat has 1 lovely bedrooms which includes an outstanding master bedroom. This beautiful flat on sale comes with 1 balconies which are great for relaxation, reading or enjoying the view. There are 1 bathrooms for the residents' convenience. The flat comes with well-built marble flooring that adds more chic to the entire house. This 1 BHK flat on sale is bundled with well-designed 1 covered car parking space for the comfort of the residents. This apartment is well situated facing east. It overlooks the main road which adds to the charm of living here. This flat for sale is the perfect property for you! This under construction flat in Mahavir Enclave Part 1 is available for a reasonable price of INR 23 Lac. The flat is semi-furnished and is suitable for any family size. Mahavir Enclave Part 1, New Delhi - Dwarka, Delhi NCR is the postal address of this flat that is up for sale.",₹23 Lac,₹5111 per sqft
